FIPSCode,CountyName,State,Estimatedhesitant,Estimatedhesitantorunsure,Estimatedstronglyhesitant,SVI,SVICategory,CVAC,LevelOfConcern,PercentAdultsFullyVaccinated,StateCode,fips,StateP
1123,"Tallapoosa County, Alabama",ALABAMA,0.1806,0.24,0.1383,0.89,Very High Vulnerability,0.64,High Concern,0.305,AL,01123,Alabama
1121,"Talladega County, Alabama",ALABAMA,0.1783,0.235,0.1368,0.87,Very High Vulnerability,0.84,Very High Concern,0.265,AL,01121,Alabama
1131,"Wilcox County, Alabama",ALABAMA,0.1735,0.2357,0.1337,0.93,Very High Vulnerability,0.94,Very High Concern,0.394,AL,01131,Alabama
1129,"Washington County, Alabama",ALABAMA,0.1735,0.2357,0.1337,0.73,High Vulnerability,0.82,Very High Concern,0.308,AL,01129,Alabama
1133,"Winston County, Alabama",ALABAMA,0.1805,0.2313,0.1379,0.7,High Vulnerability,0.8,High Concern,0.163,AL,01133,Alabama
1127,"Walker County, Alabama",ALABAMA,0.1855,0.2404,0.1431,0.75,High Vulnerability,0.68,High Concern,0.357,AL,01127,Alabama
2013,"Aleutians East Borough, Alaska",ALASKA,0.2361,0.2884,0.1704,0.58,Moderate Vulnerability,0.87,Very High Concern,0.672,AK,02013,Alaska
2016,"Aleutians West Census Area, Alaska",ALASKA,0.2361,0.2884,0.1704,0.49,Moderate Vulnerability,0.77,High Concern,0.475,AK,02016,Alaska
1125,"Tuscaloosa County, Alabama",ALABAMA,0.16,0.2197,0.1205,0.63,High Vulnerability,0.58,Moderate Concern,0.328,AL,01125,Alabama
2050,"Bethel Census Area, Alaska",ALASKA,0.2361,0.2884,0.1704,0.97,Very High Vulnerability,0.89,Very High Concern,0.689,AK,02050,Alaska
13165,"Jenkins County, Georgia",GEORGIA,0.1623,0.2462,0.1043,0.83,Very High Vulnerability,0.95,Very High Concern,0.151,GA,13165,Georgia
13167,"Johnson County, Georgia",GEORGIA,0.1728,0.2541,0.1117,0.91,Very High Vulnerability,0.89,Very High Concern,0.064,GA,13167,Georgia
13159,"Jasper County, Georgia",GEORGIA,0.1588,0.2245,0.1006,0.69,High Vulnerability,0.72,High Concern,0.114,GA,13159,Georgia
13161,"Jeff Davis County, Georgia",GEORGIA,0.1864,0.2692,0.1219,0.94,Very High Vulnerability,0.94,Very High Concern,0.046,GA,13161,Georgia
13169,"Jones County, Georgia",GEORGIA,0.1478,0.2184,0.0935,0.38,Low Vulnerability,0.58,Moderate Concern,0.175,GA,13169,Georgia
13163,"Jefferson County, Georgia",GEORGIA,0.1623,0.2462,0.1043,0.94,Very High Vulnerability,0.91,Very High Concern,0.235,GA,13163,Georgia
13321,"Worth County, Georgia",GEORGIA,0.1624,0.2374,0.1034,0.74,High Vulnerability,0.88,Very High Concern,0.098,GA,13321,Georgia
13305,"Wayne County, Georgia",GEORGIA,0.1864,0.2692,0.1219,0.92,Very High Vulnerability,0.77,High Concern,0.272,GA,13305,Georgia
15001,"Hawaii County, Hawaii",HAWAII,0.0638,0.1031,0.0334,0.58,Moderate Vulnerability,0.35,Low Concern,null,HI,15001,Hawaii
13303,"Washington County, Georgia",GEORGIA,0.1623,0.2462,0.1043,0.95,Very High Vulnerability,0.84,Very High Concern,0.078,GA,13303,Georgia
13313,"Whitfield County, Georgia",GEORGIA,0.1527,0.2212,0.0956,0.88,Very High Vulnerability,0.84,Very High Concern,0.157,GA,13313,Georgia
13311,"White County, Georgia",GEORGIA,0.1469,0.2076,0.0934,0.24,Low Vulnerability,0.61,High Concern,0.054,GA,13311,Georgia
13315,"Wilcox County, Georgia",GEORGIA,0.1728,0.2541,0.1117,0.82,Very High Vulnerability,0.95,Very High Concern,0.065,GA,13315,Georgia
15003,"Honolulu County, Hawaii",HAWAII,0.0507,0.0848,0.0275,0.47,Moderate Vulnerability,0.3,Low Concern,null,HI,15003,Hawaii
13309,"Wheeler County, Georgia",GEORGIA,0.1864,0.2692,0.1219,0.81,Very High Vulnerability,0.98,Very High Concern,0.045,GA,13309,Georgia
13317,"Wilkes County, Georgia",GEORGIA,0.1623,0.2462,0.1043,0.76,High Vulnerability,0.89,Very High Concern,0.106,GA,13317,Georgia
15005,"Kalawao County, Hawaii",HAWAII,0.061,0.0979,0.0326,0.32,Low Vulnerability,0.57,Moderate Concern,null,HI,15005,Hawaii
13307,"Webster County, Georgia",GEORGIA,0.1556,0.2329,0.0991,0.79,High Vulnerability,0.86,Very High Concern,0.112,GA,13307,Georgia
13319,"Wilkinson County, Georgia",GEORGIA,0.1478,0.2184,0.0935,0.79,High Vulnerability,0.9,Very High Concern,0.141,GA,13319,Georgia
21031,"Butler County, Kentucky",KENTUCKY,0.2053,0.2637,0.1375,0.79,High Vulnerability,0.51,Moderate Concern,0.393,KY,21031,Kentucky
21041,"Carroll County, Kentucky",KENTUCKY,0.169,0.2127,0.1103,0.89,Very High Vulnerability,0.49,Moderate Concern,0.436,KY,21041,Kentucky
21021,"Boyle County, Kentucky",KENTUCKY,0.1889,0.2392,0.1251,0.43,Moderate Vulnerability,0.1,Very Low Concern,0.516,KY,21021,Kentucky
21051,"Clay County, Kentucky",KENTUCKY,0.221,0.2796,0.1503,0.91,Very High Vulnerability,0.53,Moderate Concern,0.336,KY,21051,Kentucky
21043,"Carter County, Kentucky",KENTUCKY,0.1975,0.2492,0.1302,0.82,Very High Vulnerability,0.48,Moderate Concern,0.353,KY,21043,Kentucky
21033,"Caldwell County, Kentucky",KENTUCKY,0.1972,0.2532,0.1314,0.5,Moderate Vulnerability,0.23,Low Concern,0.442,KY,21033,Kentucky
21035,"Calloway County, Kentucky",KENTUCKY,0.1792,0.229,0.1171,0.5,Moderate Vulnerability,0.14,Very Low Concern,0.377,KY,21035,Kentucky
21019,"Boyd County, Kentucky",KENTUCKY,0.1975,0.2492,0.1302,0.69,High Vulnerability,0.11,Very Low Concern,0.374,KY,21019,Kentucky
21049,"Clark County, Kentucky",KENTUCKY,0.1874,0.2378,0.1225,0.61,High Vulnerability,0.08,Very Low Concern,0.481,KY,21049,Kentucky
23027,"Waldo County, Maine",MAINE,0.0948,0.1285,0.078,0.22,Low Vulnerability,0.31,Low Concern,0.617,ME,23027,Maine
25005,"Bristol County, Massachusetts",MASSACHUSETTS,0.0572,0.0853,0.0417,0.52,Moderate Vulnerability,0.06,Very Low Concern,0.545,MA,25005,Massachusetts
25025,"Suffolk County, Massachusetts",MASSACHUSETTS,0.0442,0.0693,0.0317,0.74,High Vulnerability,0.05,Very Low Concern,0.616,MA,25025,Massachusetts
25027,"Worcester County, Massachusetts",MASSACHUSETTS,0.049,0.0729,0.0356,0.41,Moderate Vulnerability,0.03,Very Low Concern,0.593,MA,25027,Massachusetts
26005,"Allegan County, Michigan",MICHIGAN,0.1072,0.1841,0.0664,0.18,Very Low Vulnerability,0.28,Low Concern,0.474,MI,26005,Michigan
26001,"Alcona County, Michigan",MICHIGAN,0.0976,0.1717,0.06,0.26,Low Vulnerability,0.37,Low Concern,0.526,MI,26001,Michigan
26003,"Alger County, Michigan",MICHIGAN,0.1087,0.1903,0.0665,0.45,Moderate Vulnerability,0.53,Moderate Concern,0.583,MI,26003,Michigan
26015,"Barry County, Michigan",MICHIGAN,0.0962,0.1711,0.0593,0.09,Very Low Vulnerability,0.22,Low Concern,0.442,MI,26015,Michigan
26013,"Baraga County, Michigan",MICHIGAN,0.095,0.169,0.0584,0.66,High Vulnerability,0.63,High Concern,0.493,MI,26013,Michigan
26011,"Arenac County, Michigan",MICHIGAN,0.1033,0.1808,0.0645,0.51,Moderate Vulnerability,0.44,Moderate Concern,0.481,MI,26011,Michigan
26017,"Bay County, Michigan",MICHIGAN,0.0932,0.1634,0.0571,0.44,Moderate Vulnerability,0.29,Low Concern,0.529,MI,26017,Michigan
26035,"Clare County, Michigan",MICHIGAN,0.1102,0.1983,0.0688,0.77,High Vulnerability,0.71,High Concern,0.416,MI,26035,Michigan
26027,"Cass County, Michigan",MICHIGAN,0.099,0.1737,0.0608,0.33,Low Vulnerability,0.33,Low Concern,0.377,MI,26027,Michigan
26037,"Clinton County, Michigan",MICHIGAN,0.0842,0.146,0.0507,0.04,Very Low Vulnerability,0.22,Low Concern,0.531,MI,26037,Michigan
26045,"Eaton County, Michigan",MICHIGAN,0.0842,0.146,0.0507,0.31,Low Vulnerability,0.26,Low Concern,0.512,MI,26045,Michigan
26043,"Dickinson County, Michigan",MICHIGAN,0.095,0.169,0.0584,0.23,Low Vulnerability,0.28,Low Concern,0.619,MI,26043,Michigan
